"","YEAR","month","LATITUDE","LONGITUDE","SURF.TEMP","BOT.TEMP","BOT.SAL","SURF.CHLOR","BOT.OXY","effort","count","rscpue","BATHYMETRY","RUGOSITY","PLATFORM","PIPELINE","GRAVEL","MUD","ROCK","SAND","CARBON","REEF","PA","logrscpue","rand","Validate"
"7905",1998,11,28.96,-90.35,22.48,23.6,34.13,0.398776119957368,5.3,30,0,0,15,2.71469474382088,1,11.3909,9.77e-15,3,0,77,1.811496139,0,0,0,2,"TEST"
"21156",2018,10,29.25,-93.9,25.45,25.46,34.47,-0.27443684570176,6.2,30,0,0,14,1.80828877117927,0,3.298011877,2.78e-15,2.42e-13,1.78e-14,-7.82e-14,0.671030223,0,0,0,3,"TEST"
"8659",1999,11,28.94,-89.92,22.76,25.11,36.25,-3.50655789731998,5.1,20,0,0,36,3.09557760852371,0,7.906005,0,100,0,1.42e-14,2.18013978,0,0,0,4,"TEST"
"9979",2002,10,28.44,-94.32,26.53,26.83,35.5,0.157003748809665,5.2,55,12,0.2181818,42,2.31253542384721,0,3.043637,0,50,1.1e-13,50,0.896175265,0,1,2.64552976670152,5,"TEST"
"15842",2010,10,26.07,-96.77,28.06,27.09,36.2,0.802001585472027,4.5,30,0,0,44,2.64617479738412,0,0,1.51e-14,50,2.95e-14,50,0.653464794,0,0,0,6,"TEST"
"20081",2017,10,24.77,-82.69,28.54,24.83,36.3,-1.20397280432594,4.9,30,27,0.9,31,3.37073817417745,0,0,33.33333206,33.33333206,1.88e-13,33.33333206,2.135701656,0,1,4.00733318523247,7,"TEST"
"15963",2010,10,28.84,-92.88,26.05,27.58,35.81,-0.0725706928348354,5.2,30,2,0.06666667,26,1.62924053973028,0,0,0,-1.56e-13,5.24e-14,100,0.692529678,0,1,1.6094379524341,8,"TEST"
"7772",1998,11,29.03,-92.09,24.38,24.96,33.59,-0.210721031315653,6.1,38,3,0.07894737,18,2.64617479738412,0,0,7.55e-15,67,4.57e-14,33,0.304948121,0,1,1.74690891957646,9,"TEST"
"2306",1990,11,29.64,-93.63,21.73,21.77,30.08,1.99605993274078,7.9,60,0,0,10,2.31253542384721,0,4.320827,0,50,1.04e-14,46,0.600000024,0,0,0,11,"TEST"
"16479",2011,10,27.41,-96.39,28.99,20.34,36.46,-1.27296567581289,4.9,30,0,0,109,3.93378449720966,0,0,1.284896016,90.27524567,6.122364521,4.71795845,0.973588109,0,0,0,12,"TEST"
"6015",1995,11,29.36,-88.15,23,22.58,35.87,0.262364264467491,5.1,17,8,0.4705882,84,3.74004774068834,0,0,1,7.525252342,0,90,0.100000001,0,1,3.3753766096058,13,"TEST"
"20550",2017,11,27.86,-83.74,24.39,24.41,35.99,0.19062035960865,5.8,30,0,0,43,2.4932054526027,0,0,8.88e-15,34,0,66,0.382327169,0,0,0,14,"TEST"
