"","YEAR","month","LATITUDE","LONGITUDE","SURF.TEMP","BOT.TEMP","BOT.SAL","SURF.CHLOR","BOT.OXY","effort","count","rscpue","BATHYMETRY","RUGOSITY","PLATFORM","PIPELINE","GRAVEL","MUD","ROCK","SAND","CARBON","REEF","PA","logrscpue","rand","Validate"
"21236",2019,6,26.11,-83.82,28.7,19.41,36.53,-4.60517018598809,4.3,30,0,0,96,3.40452517175483,0,0,7.11e-15,2.91e-13,30,100,0.476540208,0,0,0,1,"TEST"
"7025",1997,7,29.48,-92.49,30.64,29.13,27.32,2.06939120582633,1.6,34,0,0,9,2.2082744135228,2,21.77887,7.68e-14,98,1.13e-13,2,1.399999976,0,0,0,2,"TEST"
"16265",2011,6,28.93,-84.78,30.75,21.36,36.03,1.28093384546206,6.6,30,0,0,42,2.2082744135228,0,0,100,7.74e-13,0,-9.95e-14,0.142302677,0,0,0,4,"TEST"
"16793",2012,6,25.52,-81.82,29.63,29.6,36.33,1.46093790411566,6.4,30,0,0,11,1.41098697371026,0,0,0,1,5.4e-13,99,0.899999976,0,0,0,5,"TEST"
"17635",2013,6,29.11,-94.68,29.18,26.42,33.79,1.05779029414785,4.4,30,0,0,17,2.40694510831829,0,2.149358917,2.26e-14,91,0,7.11e-15,0.699999988,0,0,0,6,"TEST"
"18756",2015,6,29.9,-87.11,28.67,17.06,39.94,-4.60517018598809,4.7,30,0,0,149,4.78832472908594,0,0,30,-2.56e-13,100,70,0.860771894,0,0,0,8,"TEST"
"21307",2019,6,25.42,-83.26,29.31,20.56,36.35,-4.60517018598809,5.5,30,0,0,62,2.83907846350861,0,0,50,-7.11e-14,0,50,1.46941936,0,0,0,9,"TEST"
"10262",2002,6,28.1,-95.82,29.17,25.09,35.87,0.943905898907128,4.6,55,10,0.1818182,41,2.71469474382088,0,3.839492912,6.114008427,60.26264191,1.635917187,33.03116608,0.959922433,0,1,2.47730214200583,10,"TEST"
"1692",1989,7,29.23,-94.81,27.14,26.92,32.6,0.0676586484738149,4.7,20,0,0,11,2.40694510831829,0,0,0,80,0,13,1,0,0,0,11,"TEST"
"18369",2014,7,24.77,-82.27,30.47,30.27,36.58,-1.23787435600162,5.9,30,0,0,23,3.04927304048202,0,0,33.5,50,1.78e-14,4.97e-14,1.776145935,0,0,0,12,"TEST"
"7623",1998,7,28.65,-90.17,30.47,19.04,36.31,1.61342993370364,3.5,23,0,0,69,3.87328217711172,0,10.36576,1,68,0,29,1.670728087,0,0,0,13,"TEST"
"8261",1999,7,28.2,-95.56,28.86,22.47,35.45,-1.04982212449868,3,42,9,0.2142857,39,2.57261223020711,0,0,6.190838814,56.63271332,0,36.72147751,0.920924187,0,1,2.6288007675924,14,"TEST"
"4923",1994,7,28.05,-94.27,29.24,20.15,36.38,2.2523438765573,5.3,31,3,0.09677419,68,3.55820113047182,0,7.652837,33.33333206,-3.62e-13,100,33.33333206,0.871350884,0,1,1.9178708977113,15,"TEST"
"16366",2011,7,28.87,-94.92,29.98,26.44,34.12,0.246860077931526,3.3,30,2,0.06666667,18,1.41098697371026,0,2.105842233,2.4e-14,100,0,-6.39e-14,0.70407033,1,1,1.6094379524341,16,"TEST"
"3715",1992,6,28.3,-95.45,29.44,21.65,36.12,-2.04022082852655,6.9,18,0,0,35,2.31253542384721,1,8.944946,4.617024899,55.02600098,0,40.40940475,0.855145276,2,0,0,17,"TEST"
"6943",1997,6,28.33,-95.54,28.78,21.98,35.66,-0.891598119283784,3.4,30,1,0.03333333,31,2.09186406167839,0,0,4.617024899,55.02600098,0,40.40940475,0.855145276,0,1,1.09861222200144,18,"TEST"
"18111",2014,6,25.75,-81.73,29.78,29.5,36.29,-0.579818495252942,6.2,30,0,0,6,1.80828877117927,0,0,1.980198026,5.530303001,0,78.90403748,0.400000006,0,0,0,19,"TEST"
"12228",2006,6,28.52,-90.52,30.03,23.94,36.35,-2.40794560865187,4.2,31,0,0,37,3.00071981506503,0,4.308689247,3.46e-14,92,2.56e-13,6,0.803330004,0,0,0,20,"TEST"
"6354",1996,7,28.85,-94.28,29.76,23.48,35.38,1.92278773163446,2.1,52,40,0.7692308,24,2.4932054526027,0,3.058072,5.06e-14,1.56e-13,0,67,0.776457369,0,1,3.85341561762639,21,"TEST"
"16763",2012,6,25.23,-83.72,28.52,20.1,36.47,-4.60517018598809,4.7,30,0,0,87,3.00071981506503,0,0,1.07e-14,2,5.68e-14,98,2.799999952,0,0,0,22,"TEST"
"13056",2007,7,28.02,-93.86,29.03,21.23,36.49,-1.07880966137193,6.1,32,0,0,84,3.43720781918519,0,0,4e-15,25.5,30,74.5,0.722340584,0,0,0,23,"TEST"
"11353",2004,7,28.13,-93.44,29.14,20.99,36.36,-1.38629436111989,5.7,55,0,0,77,3.13983261752775,0,2.691796547,21.83174515,52.47816086,18.09928894,21.99771118,0.919206083,0,0,0,24,"TEST"
"12698",2006,7,28.64,-93.65,28.75,25.1,36.01,-0.0304592074847086,5.7,54,8,0.1481481,34,2.71469474382088,0,0,50,50,0,-7.11e-14,0.924981475,0,1,2.29141150026105,25,"TEST"
"5679",1995,7,29.58,-92.99,30.06,27.94,27.61,2.13298230860787,1.1,58,0,0,11,2.40694510831829,0,7.906375,3.75e-14,100,0,-7.82e-14,1.399999976,0,0,0,28,"TEST"
"18838",2015,6,24.61,-83.14,29.15,20.81,36.76,-2.81341071676004,6.7,30,0,0,49,3.7635229971097,0,0,100,-5.9e-13,100,-6.39e-14,1.602893353,0,0,0,29,"TEST"
"20846",2018,6,27.16,-97.21,26.59,22.98,36.21,-1.34707364796661,6.3,30,1,0.03333333,26,3.26193531432865,0,0,1.455025673,66.59606171,0.957221329,25.79387856,0.802777588,0,1,1.09861222200144,30,"TEST"
"466",1988,7,28.87,-90.88,28.66,28.6,33.61,-0.385662480811985,6.5,23,0,0,10,1.96009478404727,2,12.40581,0,31.66666603,4.09e-14,54.5,1.327073574,0,0,0,31,"TEST"
"6963",1997,7,28.24,-95.03,29.13,21.67,36.11,-0.63487827243597,5,60,42,0.7,49,2.71469474382088,0,0,8.242718697,47.87462997,0.666039586,42.92084122,0.868416011,0,1,3.76120011569356,33,"TEST"
"4143",1993,7,28.89,-92.67,28.59,22.38,35.17,0.104360015324243,2.7,28,0,0,28,1.80828877117927,0,0,30.79472351,44.72919846,0.304242313,19.55449486,0.662723362,0,0,0,34,"TEST"
"3606",1992,6,30.13,-88.12,27.2,22.74,35.97,-0.371063681390832,5.2,10,0,0,18,2.89591193827178,0,0,1.527139187,18.06720543,0.866295278,84.67307281,0.645139098,1,0,0,35,"TEST"
"19517",2016,6,27.97,-95.87,29.15,22.11,35.94,0.378436435720245,4.6,30,3,0.1,52,2.89591193827178,0,0,4.997111797,62.9543457,4.533666611,32.09152603,0.978106976,0,1,1.94591014905531,36,"TEST"
